index,status,label,net,source,destination,layers,segments,vias,max_width_mm,length_mm,unconnected_before,unconnected_after,proposed_drc,geometry,rationale
12,ACCEPT,PVSS2_TO_NETTIE,PVSS2,C8.2,NT2.1,F.Cu,3,0,0.25,3.7314,160,159,0,"F.Cu:41.1500,25.7500->41.9500,24.9500@0.250;F.Cu:41.9500,24.9500->43.6000,24.9500@0.250;F.Cu:43.6000,24.9500->43.6000,24.0000@0.250",Top-copper return to relocated NT2
13,ACCEPT,BUCK1_L1_TO_C7,3V_MAIN,L1.1,C7.1,F.Cu,2,0,0.4,1.7760,159,158,0,"F.Cu:41.9000,31.3500->41.9000,32.5250@0.400;F.Cu:41.9000,32.5250->41.4750,32.9500@0.400",Wide short Buck-1 inductor-to-output-cap connection
14,ACCEPT,BUCK1_VOUT_SENSE,3V_MAIN,U2.1,C7.1,F.Cu,4,0,0.2,8.0375,158,157,0,"F.Cu:37.6375,30.3500->38.1500,30.3500@0.200;F.Cu:38.1500,30.3500->38.1500,33.7500@0.200;F.Cu:38.1500,33.7500->41.4750,33.7500@0.200;F.Cu:41.4750,33.7500->41.4750,32.9500@0.200",Top-copper VOUT1 sense/feed around the C2/C14 island
15,ACCEPT,BUCK2_L2_TO_C8,3V_FLASH,L2.1,C8.1,F.Cu,2,0,0.4,2.0010,157,156,0,"F.Cu:43.1250,27.5750->43.1250,26.1750@0.400;F.Cu:43.1250,26.1750->42.7000,25.7500@0.400",Wide short Buck-2 inductor-to-output-cap connection
16,ACCEPT,BUCK2_VOUT_SENSE,3V_FLASH,U2.32,L2.1,F.Cu+In2.Cu,6,2,0.25,13.8673,156,155,0,"F.Cu:36.9500,31.0375->36.9500,33.5500@0.200;F.Cu:36.9500,33.5500->37.0000,33.6000@0.200;In2.Cu:37.0000,33.6000->40.5000,33.6000@0.250;In2.Cu:40.5000,33.6000->43.6000,30.5000@0.250;In2.Cu:43.6000,30.5000->43.6000,27.5750@0.250;F.Cu:43.6000,27.5750->43.1250,27.5750@0.250;VIA:37.0000,33.6000@0.45/0.20;VIA:43.6000,27.5750@0.45/0.20",VOUT2 sense/feed on In2; no signal track is placed on In1
17,ACCEPT,VDDIO_LOCAL_BYPASS,3V_MAIN,U2.12,C13.1,F.Cu,2,0,0.15,1.3875,155,154,0,"F.Cu:35.4500,26.1625->35.4500,25.2700@0.150;F.Cu:35.4500,25.2700->35.8000,24.9200@0.150",Short nPM1300 VDDIO bypass connection
18,ACCEPT,VSYS_U20_TO_C16,VSYS,U2.20,C16.1,F.Cu,2,0,0.25,2.0933,154,153,0,"F.Cu:32.7625,28.3500->30.9450,28.3500@0.250;F.Cu:30.9450,28.3500->30.7500,28.1550@0.250",Local VSYS high-frequency bypass
19,ACCEPT,VSYS_C16_TO_C4,VSYS,C16.1,C4.1,F.Cu,1,0,0.3,1.2502,153,152,0,"F.Cu:30.7500,28.1550->29.5000,28.1750@0.300",Local VSYS bulk branch
20,ACCEPT,VBUSOUT_LOCAL_BYPASS,VBUSOUT,U2.22,C5.1,F.Cu,3,0,0.25,2.2800,152,151,0,"F.Cu:32.7625,29.3500->32.1000,29.3500@0.250;F.Cu:32.1000,29.3500->31.5750,29.8750@0.250;F.Cu:31.5750,29.8750->30.7000,29.8750@0.250",Short protected-output bypass after the capacitor ECO
21,ACCEPT,VBAT_LOCAL_BYPASS,VBAT,U2.19,C6.1,F.Cu,4,0,0.3,3.4888,151,150,0,"F.Cu:32.7625,27.8500->32.1000,27.8500@0.300;F.Cu:32.1000,27.8500->31.5000,27.2500@0.300;F.Cu:31.5000,27.2500->31.5000,26.0500@0.300;F.Cu:31.5000,26.0500->30.9500,25.5000@0.300",Short battery-input bypass after the capacitor ECO
22,ACCEPT,LDO1_LOCAL_BYPASS,3V_MIC,U2.29,C10.1,F.Cu,2,0,0.2,2.6396,150,149,0,"F.Cu:35.4500,31.0375->35.4500,32.4750@0.200;F.Cu:35.4500,32.4750->34.6000,33.3250@0.200",Short LDO1/3V_MIC bulk-cap connection
23,ACCEPT,VSYS_LOCAL_BACKBONE,VSYS,U2.4/C2/C3,U2.20/U2.28/C4/C9/C14/C15/C16,F.Cu+In2.Cu,18,6,0.3,29.3216,149,144,0,"F.Cu:32.7625,28.3500->31.8000,28.3500@0.250;F.Cu:34.9500,31.0375->34.9500,31.5000@0.200;F.Cu:34.9500,31.5000->34.2000,32.2500@0.200;F.Cu:34.2000,32.2500->34.2000,32.3000@0.200;F.Cu:39.1450,31.9000->38.7000,32.3450@0.200;F.Cu:38.7000,32.3450->38.7000,32.4000@0.200;F.Cu:39.1450,25.8000->38.6000,25.8000@0.200;F.Cu:33.4000,33.3250->33.4000,32.6000@0.250;In2.Cu:31.8000,28.3500->33.4000,29.9500@0.300;In2.Cu:33.4000,29.9500->33.4000,32.6000@0.300;In2.Cu:33.4000,32.6000->34.2000,32.3000@0.300;In2.Cu:34.2000,32.3000->38.7000,32.4000@0.300;In2.Cu:31.8000,28.3500->33.4000,26.7500@0.300;In2.Cu:33.4000,26.7500->34.3500,25.8000@0.300;In2.Cu:34.3500,25.8000->38.6000,25.8000@0.300;In2.Cu:31.8000,28.3500->34.2000,28.3500@0.300;In2.Cu:34.2000,28.3500->34.7000,28.8500@0.300;In2.Cu:34.7000,28.8500->38.3000,28.8500@0.300;VIA:38.3000,28.8500@0.45/0.20;VIA:31.8000,28.3500@0.45/0.20;VIA:34.2000,32.3000@0.45/0.20;VIA:38.7000,32.4000@0.45/0.20;VIA:38.6000,25.8000@0.45/0.20;VIA:33.4000,32.6000@0.45/0.20",Joins local VSYS islands on In2 while preserving In1 GND
24,REJECT,U2_EP_GND_VIAS,GND,U2.33,In1/B GND planes,via-only,0,4,0,0.0000,144,144,3,"VIA:34.6000,28.0000@0.45/0.20;VIA:35.8000,28.0000@0.45/0.20;VIA:34.6000,29.2000@0.45/0.20;VIA:35.8000,29.2000@0.45/0.20",Four standard via-in-pad GND/thermal stitches; assembly review required
25,ACCEPT,C13_GND_STITCH,GND,C13.2,GND planes,F.Cu,1,1,0.25,0.5000,144,143,0,"F.Cu:35.8000,24.2800->36.3000,24.2800@0.250;VIA:36.3000,24.2800@0.45/0.20",VDDIO bypass return stitch
26,ACCEPT,C16_GND_STITCH,GND,C16.2,GND planes,F.Cu,1,1,0.25,0.6950,143,142,0,"F.Cu:30.7500,27.1950->30.7500,26.5000@0.250;VIA:30.7500,26.5000@0.45/0.20",VSYS HF bypass return stitch
27,ACCEPT,C9_C10_GND_BAR,GND,C9.2/C10.2,GND planes,F.Cu,2,1,0.25,1.7250,142,140,0,"F.Cu:33.4000,34.8750->34.6000,34.8750@0.250;F.Cu:34.0000,34.8750->34.0000,35.4000@0.250;VIA:34.0000,35.4000@0.45/0.20",Shared LDO/system-bulk ground-side bar only; positive nets remain separate
28,ACCEPT,C1_C5_GND_STITCH,GND,C1.2/C5.2,GND planes,F.Cu,3,1,0.25,1.4589,140,138,0,"F.Cu:29.5000,30.8000->30.0000,31.3000@0.250;F.Cu:30.7000,31.4250->30.1250,31.4250@0.250;F.Cu:30.1250,31.4250->30.0000,31.3000@0.250;VIA:30.0000,31.3000@0.45/0.20",Shared charger-cap ground stitch
29,ACCEPT,C4_GND_STITCH,GND,C4.2,GND planes,F.Cu,1,1,0.25,0.6364,138,137,0,"F.Cu:29.5000,26.6250->29.9500,26.1750@0.250;VIA:29.9500,26.1750@0.45/0.20",VSYS bulk return stitch
30,ACCEPT,C6_GND_STITCH,GND,C6.2,GND planes,F.Cu,1,1,0.25,0.5500,137,136,0,"F.Cu:29.4000,25.5000->28.8500,25.5000@0.250;VIA:28.8500,25.5000@0.45/0.20",Battery bypass return stitch
31,ACCEPT,NT1_GND_STITCH,GND,NT1.2,GND planes,F.Cu,1,1,0.25,0.3500,136,135,0,"F.Cu:43.6500,33.5000->44.0000,33.5000@0.250;VIA:44.0000,33.5000@0.45/0.20",Single-point Buck-1 return-to-GND stitch
32,ACCEPT,NT2_GND_STITCH,GND,NT2.2,GND planes,F.Cu,1,1,0.25,0.4000,135,134,0,"F.Cu:43.6000,23.0000->43.6000,22.6000@0.250;VIA:43.6000,22.6000@0.45/0.20",Single-point Buck-2 return-to-GND stitch
