"Category","Part / material","Exact MPN or dimensional specification","References","Per pendant","Required for 20 pendants","Two PCBA spares","Total required","Recorded purchased quantity","Delivery evidence","Usable quantity at assembler","Buy if recorded inventory is accepted","Maximum buy if none accepted","Action","Supplier / source","Source URL","Observed stock","Stock checked UTC","Notes"
"SMT","AO3400A","AO3400A","Q1","1","20","2","22","25","Package delivered West Vancouver Sep 1; contents not counted","Unverified","0","22","Count and consign first; buy only shortage","DigiKey US","https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AO3400A/1855772","299214","2026-09-09T13:57:49.000Z","25 invoiced pieces in carrier-delivered BC package; physical usable count and Boston/assembler receipt unverified. Count and transport before any credit against a kit. Use Alpha & Omega Semiconductor only; unrelated same-name manufacturer parts are not approved substitutes. Purchased Alpha & Omega SOT-23 item is an exact match; PN2222ATF and NTR4101P are not replacements."
"SMT","nPM1300","NPM1300-QEAA-R","U2","1","20","2","22","0","No matching purchase receipt found","Unverified","22","22","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/nordic-semiconductor-asa/NPM1300-QEAA-R/19722479","12229","2026-09-09T13:57:07.000Z",""
"SMT","100R 1%","RC0402FR-07100RL","R5 R8","2","40","4","44","0","No matching purchase receipt found","Unverified","44","44","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/yageo/RC0402FR-07100RL/726527","2456693","2026-09-09T13:57:50.000Z",""
"SMT","USB4500-03-1-A","USB4500-03-1-A","J1","1","20","2","22","0","No matching purchase receipt found","Unverified","22","22","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/gct/USB4500-03-1-A/15283198","16152","2026-09-09T13:57:08.000Z",""
"SMT","100nF 16V X7R","C0402C104M4RACTU","C14 C15 C16","3","60","6","66","0","No matching purchase receipt found","Unverified","66","66","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/kemet/C0402C104M4RACTU/2196240","148419","2026-09-09T13:57:51.000Z","Selected MPN is already incorporated into the immutable 78fe release; earlier original-MPN rows are superseded."
"SMT","100nF 16V X7R","C1005X7R1C104K050BC","C17 C19 C22","3","60","6","66","0","No matching purchase receipt found","Unverified","66","66","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/tdk-corporation/C1005X7R1C104K050BC/2093220","1506626","2026-09-09T13:57:52.000Z","Selected MPN is already incorporated into the immutable 78fe release; earlier original-MPN rows are superseded."
"SMT","1N4148WS-13-F","1N4148WS-13-F","D1","1","20","2","22","0","No matching purchase receipt found","Unverified","22","22","Buy exact released MPN","Mouser USA","https://www.mouser.com/en/ProductDetail/Diodes-Incorporated/1N4148WS-13-F?qs=uwE%252BXfKqZqTz4dP8PH7EKg%3D%3D","1824","2026-09-09T13:58Z","Cut tape; can ship immediately shown. Dispatch statement is not an arrival commitment. Potential 38% tariff shown. Selected MPN is already incorporated into the immutable 78fe release; earlier original-MPN rows are superseded."
"SMT","100nF 25V X5R","C0603X5R1E104K030BB","C13","1","20","2","22","0","No matching purchase receipt found","Unverified","22","22","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/tdk-corporation/C0603X5R1E104K030BB/3950907","933292","2026-09-09T13:58:41.000Z","Selected MPN is already incorporated into the immutable 78fe release; earlier original-MPN rows are superseded."
"SMT","TPD2E2U06DCKR","TPD2E2U06DCKR","U6","1","20","2","22","0","No matching purchase receipt found","Unverified","22","22","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/texas-instruments/TPD2E2U06DCKR/11502208","34","2026-09-09T13:57:09.000Z","DigiKey 34 is limited. Exact alternate source Mouser USA live 107 at 13:59UTC, can ship immediately, $0.268/10+, SKU595-TPD2E2U06DCKR; prefer obtaining this exact part with D1 there if inventory persists."
"SMT","0R","CRCW02010000Z0ED","R11 R10","2","40","4","44","0","No matching purchase receipt found","Unverified","44","44","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/vishay-dale/CRCW02010000Z0ED/1178434","5915370","2026-09-09T13:58:22.000Z",""
"SMT","10uF 6.3V X5R","GRM155R60J106ME15D","C26 C25","2","40","4","44","0","No matching purchase receipt found","Unverified","44","44","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/murata-electronics/GRM155R60J106ME15D/5877401","1368074","2026-09-09T13:58:23.000Z",""
"SMT","CMM-3424DT-26165-TR","CMM-3424DT-26165-TR","MIC1","1","20","2","22","0","No matching purchase receipt found","Unverified","22","22","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/CMM-3424DT-26165-TR/20380848","2759","2026-09-09T13:58:24.000Z","Only MIC1 is fitted; MIC2 remains DNP. Manufacturer drawing, not conflicting distributor dimensional metadata, governs."
"SMT","47uF 6.3V X5R","GRM21BR60J476ME01L","C23","1","20","2","22","0","No matching purchase receipt found","Unverified","22","22","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/murata-electronics/GRM21BR60J476ME01L/10703358","777","2026-09-09T13:58:43.000Z","Selected MPN is already incorporated into the immutable 78fe release; earlier original-MPN rows are superseded."
"SMT","150k 1%","RC0201FR-07150KL","R3 R4","2","40","4","44","0","No matching purchase receipt found","Unverified","44","44","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/yageo/RC0201FR-07150KL/3202384","8350","2026-09-09T13:58:25.000Z",""
"SMT","ESD441DPYR","ESD441DPYR","D2","1","20","2","22","0","No matching purchase receipt found","Unverified","22","22","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/texas-instruments/ESD441DPYR/28715599","2613","2026-09-09T13:58:26.000Z",""
"SMT","1uF 16V X7R","C1608X7R1C105K080AC","C1 C18 C5","3","60","6","66","0","No matching purchase receipt found","Unverified","66","66","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/tdk-corporation/C1608X7R1C105K080AC/634395","1548727","2026-09-09T13:58:28.000Z",""
"SMT","MX35LF4GE4AD-Z4I","MX35LF4GE4AD-Z4I","U5","1","20","2","22","0","No matching purchase receipt found","Unverified","22","22","Buy exact released MPN","DigiKey US","https://www.digikey.com/en/products/detail/macronix/MX35LF4GE4AD-Z4I/18110032","2339","2026-09-09T13:57:10.000Z","Tray packaging; constrained supply notice prohibits backorders. Firmware storage qualification remains separate."
"Offboard","Protected 350 mAh battery","Jauch LP561836JU+PCM+2 WIRES 50MM / 246501","BT1","1","20","0","20","0","No matching purchase receipt found","Unverified","20","20","Buy 20 after delivery lane and first article assembly accepted","DigiKey US","https://www.digikey.com/en/products/detail/jauch-quartz/LP561836JU-PCM-2-WIRES-50MM/9560979","4272","2026-09-09T14:31:06.000Z","Protected body maximum 38.5 × 18.5 × 6.0 mm after cycling. Factory 50 ±5 mm AWG 26 leads included. No connector or NTC. USD 8.96 each; 20 cost $179.20 before charges. AIR SHIPMENT UNAVAILABLE through this listing. Charging disabled; 16-hour runtime unproven."
"Offboard","Battery thermistor","TDK B57540G1103F000","TH1","1","20","0","20","0","No matching purchase receipt found","Unverified","20","20","Buy 20 and assemble insulated thermal attachment","DigiKey US","https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B57540G1103F000/3500367","6219","2026-09-09T14:31:07.000Z","10 kΩ ±1%; glass bead maximum D0.8 × L1.4 mm. Factory 65 mm leads included. USD 2.918 each; 20 cost $58.36 before charges. Insulate and trim to the harness drawing. Qualify temperature and open/short response before charging."
"Offboard","10 mm coin vibration motor","Vybronics VCLP1020B002L","M1","1","20","0","20","20","Package delivered West Vancouver Sep 1; contents not counted","Unverified","0","20","Locate/count 20; rebuy only verified shortage","DigiKey US","https://www.digikey.com/en/products/detail/vybronics-inc/VCLP1020B002L/10285888","4102","2026-09-09T14:31:16.000Z","Exact ordered motor matches release. Factory leads included. Motor disabled/disconnected at first power until startup-current/rail checks pass. No two motor spare allowance is included; two spare PCB assemblies do not require complete extra wearables."
"Harness","Battery wire pair","Use supplied Jauch AWG 26 UL3302 leads","BT1 harness","1","20","0","20","0","Included with the 20 batteries above","Unverified","0","0","Use factory leads; no separate connector purchase","Jauch drawing","https://www.jauch.com/downloadfile/677e36004f2f52f0c09596821569f922b/matd_246501_20200507_350mah_-_lp561836ju_1s1p_2_wire_50mm.pdf","Included","2026-09-09","Trim and terminate to the dimensional contract with strain relief and correct polarity. Planning wire guard OD1.2 mm, radius 2 mm. Existing 20 Adafruit 3814 JST sets are evaluation stock, not mandated or fit-approved. Do not solder to cell tabs or modify the PCM."
"Harness","NTC lead insulation and attachment","Insulated assembly ≤2.0 × 1.4 × 1.0 mm; lead sleeve OD ≤0.5 mm","TH1 harness","1","20","0","20","0","Generic polyimide/heat-shrink ordered; exact material not selected","Unverified","TBD","20","Select material and cut 20 sets to released gauges","TDK and included harness contract","https://product.tdk.com/system/files/dam/doc/product/sensor/ntc/ntc_element/data_sheet/50/db/ntc/ntc_glass_enc_sensors_g1540.pdf","Not allocated","2026-09-09","Factory wire diameter 0.15 mm. First bends 4.9/4.7 mm from glass ends; radius at least 0.75 mm. Generic thick heat-shrink cannot be assumed compatible. Thermal coupling and adhesive require qualification."
"Harness","Motor lead termination and retention","Factory leads; planning guard OD ≤0.5 mm and bend radius ≥1 mm","M1 harness","1","20","0","20","20","Included with ordered motors","Unverified","0","0","Use factory leads; source retention only after thickness check","Vybronics","https://www.vybronics.com/coin-vibration-motors/with-leads/v-clp1020b002l","Included","2026-09-09","Do not add Dupont/JST connectors inside case without fit review. Extensions only if actual lead route requires them."
"Mechanical","Oval shell set","78fe-matched base, lid and button CAD; 56 × 35 × 14.8 mm","Case","1","20","0","20","0","No accepted matching shell set in inventory","Unverified","20","20","Make 20 case sets after first fit sample accepted","Included CAD package","","Custom fabrication","2026-09-09","Earlier CNC/printed case orders do not prove this revision. Use nonconductive unfilled material and approved finish; metal-filled filament is not credited for RF window."
"Mechanical","M2×4 case screws","M2 ×0.4 ×4 mm underhead; head ≤D4.0 ×H1.3 mm","Case fasteners","2","40","0","40","0","OldM2×8/10 holds are different parts","Unverified","40","40","Source 40 exact dimensional matches; optional 4 extras","Fastener supplier to select","","Unverified","2026-09-09","Exact supplier SKU not selected. Two screws per pendant into tapped 1.6 mm pilots in polymer D5.6 mm pillars. Threading, pullout and torque require first-article acceptance. Longer countersunk screws and nuts from old designs do not match."
"Mechanical","Microphone acoustic gasket","Foam annulus OD2.7 / ID1.2 / free height 0.4 mm","MIC1 gasket","1","20","0","20","0","No exact material/cut shape matched","Unverified","20","20","Source material and cut 20 gasket rings","Converter / assembly supplier","","Unverified","2026-09-09","Up to 0.2 mm compression. Material not yet selected. Keep acoustic hole clear. No dust mesh is in this release; adding mesh requires acoustic/fit review."
"Mechanical","Battery retention adhesive","Removable electrically insulating adhesive; compressed thickness ≤0.20 mm","BT1 retention","1","20","0","20","0","Generic 9448A and polyimide purchases are not fit/thermal approved","Unverified","TBD","20","Select accepted thin adhesive and cut 20 pieces","Assembly supplier","","Unverified","2026-09-09","At most 0.20 mm adhesive in the 0.25 mm available gap leaves 0.05 mm installation reserve. Validate rigid seating and retention. Do not substitute thick foam tape. No automatic credit for Amazon tape."
"Mechanical","Motor retention adhesive","Installed thickness and footprint per motor pocket","M1 retention","1","20","0","20","0","No exact material matched","Unverified","TBD","20","Select retention after measured motor fit","Assembly supplier","","Unverified","2026-09-09","Do not assume the maximum floor gap is all available to adhesive. Include strain relief and vibration/noise test."
"Mechanical","PCB compliant capture pads","Four 0.8 ×0.6 ×0.3 mm compliant pads per case","PCB retention","4","80","0","80","0","No exact material/cut shape matched","Unverified","80","80","Select compliant material and cut 80 pads","Converter / assembly supplier","","Unverified","2026-09-09","Material hardness/compression and pressure on components need first article fit verification."
"Mechanical","Lightpipe and retention","Lightpipe OD1.65 mm, collar D2.7 mm; adhesive annulus OD1.8 / ID1.65 / H0.3 mm","LED1 optics","1","20","0","20","0","No accepted lightpipe stock","Unverified","20","20","Make 20 optical parts and qualify retention","Included CAD and assembly supplier","","Custom fabrication","2026-09-09","Exact lightpipe and adhesive supplier SKUs not selected. Optical clarity, indicator visibility and retention remain physical checks."
"Mechanical","Textile neck cord set","Two fine textile strands through 2 mm bore; knot guard 4 ×4 ×2.6 mm","Wear attachment","1","20","0","20","0","Metal chains ordered; none accepted as this textile attachment","Unverified","20","20","Source 20 fitting cords after pullout test","Cord supplier to select","","Unverified","2026-09-09","Cord length and material SKU unselected. Old metal chain/metal-filled material is not automatic credit and must not enter antenna exclusion."
"Bench","Data-capable USB-C cables","Known-good 5 V USB 2 data cable; plug overmold must fit case","USB bench","0","2","0","2","0","10 ACP 31-6310 cables were hold-only; pickup/payment not confirmed","Unverified","0 if≥2existing cables confirmed","2","Locate existing data cables first; buy only bench shortage","Memory Express prior hold","https://www.memoryexpress.com/Products/MX00133269","Past hold; not current stock","2026-09-09","Two cables support two first article test stations. No 20-cable customer bundle included. If every pendant needs a cable include 20 total, subtract only physically counted accepted stock. Micro-USB cable does not mate. USB cable does not make charging qualified."
"Bench","5 V USB bench power and current limit","Two regulated 5 V sources with suitable current limit and measurement","Power test","0","2","0","2","0","No matched current-limited supply purchase","Unverified","0 ifassembler provides","2","Use assembler equipment or procure two accepted test setups","Assembler / bench supplier","","Unverified","2026-09-09","Do not feed a raw AA 6 V holder to the 3 V rail. USB power supply/bench setup is not a released battery charger."
"Bench","Commercial SWD programmer","Genuine commercial-use SWD probe supporting nRF52840","Programming","0","1","0","1","1","Generic DKARDU DAPLINK ordered; delivery and support untested","Unverified","0 ifexisting probe or assembler passes","1","Test existing DAPLink or use assembler licensed probe","SEGGER reference","https://www.segger.com/products/debug-probes/j-link/models/j-link-base/","Not allocated","2026-09-09","Existing generic DAPLink compatibility is untested. J-Link EDU licensing does not cover commercial work. USB alone cannot program a blank custom module; fixture and VTref are required."
"Bench","Programming and test fixture","Custom pogo SWDIO/SWDCLK/GND/VTref and reset/test contacts from release","Fixture","0","1","0","1","0","No fixture purchase/build matched","Unverified","1","1","Have assembler build fixture and verify contacts","Included test-pad/native board drawings","","Custom build","2026-09-09","Exact pogo count and connector SKU not selected. Direct temporary SWD leads are for first articles only; do not assume standard Tag-Connect fits arbitrary pads."
"Bench","ESD and measurement setup","Grounded ESD workstation, DMM, microscope, scope/current capture, USB/BLE test phone","Testequipment","0","1","0","1","1","DMM, microscope, tweezers and mats ordered; usable count unknown","Unverified","0 ifassembler provides","1","Confirm existing tools; borrow/rent missing measurement gear","Existingorders / assembler","","Unverified","2026-09-09","No scope/current logger receipt matched. Smartphone with correct build and known-good phone audio path required. Tools cover one workstation; quantity means a set, not one per pendant."
"Consumable","Insulation, rework wire, flux and cleaning","Existing 28 AWG wire, polyimide, heat-shrink, flux and IPA; inspect before use","Assemblysupplies","0","1","0","1","1","Amazon purchase/shipping records; delivery unconfirmed","Unverified","0 ifcounted and qualified","1","Locate existing purchases; buy only shortage accepted by assembler","Existing Amazon orders","","Not current retail stock","2026-09-09","Most internal leads come with battery/motor/NTC. Consumer SnBi/leaded solder paste is not credited for assembler controlled reflow. Do not rebuy toolkits blindly."
"Manufacturing","PCB fabrication and SMT assembly","Immutable 78fe E1P1 PCB; 47 placements/board; 137 Type VII vias","22 PCBAs","0","22","0","22","0","Old JLC NOR-board order does not match this release","Unverified","22","22","Quote 22 PCBAs, 2 first articles before balance; procure SMT rows above once","Included manufacturing release","","Quote and process acceptance pending","2026-09-09","20 engineering prototypes plus 2 spare PCBAs. This row is a manufacturing service quantity. Do not duplicate the SMT purchase if the assembler buys the BOM. Require the actual 90-ohm stackup/CAM process, capped vias, 0201 assembly and inspection."
