reference,value,pad,net,x_mm,y_mm,side
C23,100nF MOTOR,1,3V_MAIN,40.1200,35.4000,F
C23,100nF MOTOR,2,HAPTIC_NEG,41.0800,35.4000,F
C24,47uF MOTOR BULK,1,3V_MAIN,32.2000,38.8500,B
C24,47uF MOTOR BULK,2,GND,32.2000,36.9500,B
C3,10uF 10V X5R,1,VSYS,28.7000,28.7750,B
C3,10uF 10V X5R,2,GND,28.7000,27.2250,B
C4,10uF 10V X5R,1,VSYS,26.1250,36.6000,F
C4,10uF 10V X5R,2,GND,27.6750,36.6000,F
C5,1uF 10V X7R,1,VBUSOUT,36.8250,30.9000,F
C5,1uF 10V X7R,2,GND,38.3750,30.9000,F
C6,2.2uF 16V X7R EMK107BB7225KA-T,1,VBAT,33.4750,30.0000,B
C6,2.2uF 16V X7R EMK107BB7225KA-T,2,GND,31.9250,30.0000,B
C7,10uF 10V X5R,1,3V_MAIN,40.4000,27.9750,F
C7,10uF 10V X5R,2,GND,40.4000,26.4250,F
C8,10uF 10V X5R,1,3V_SD,40.4000,33.5750,F
C8,10uF 10V X5R,2,GND,40.4000,32.0250,F
C9,10uF 10V X5R,1,VSYS,41.2250,29.9000,F
C9,10uF 10V X5R,2,GND,42.7750,29.9000,F
D1,1N4148W-HF,1,HAPTIC_NEG,39.9500,37.0000,F
D1,1N4148W-HF,2,3V_MAIN,42.0500,37.0000,F
J1,USB4105-GF-A,,,26.2800,27.1100,F
J1,USB4105-GF-A,,,26.2800,32.8900,F
J1,USB4105-GF-A,A1,GND,27.3550,26.8000,F
J1,USB4105-GF-A,A4,VBUS,27.3550,27.6000,F
J1,USB4105-GF-A,A5,USB_CC1,27.3550,28.7500,F
J1,USB4105-GF-A,A6,USB_D+,27.3550,29.7500,F
J1,USB4105-GF-A,A7,USB_D-,27.3550,30.2500,F
J1,USB4105-GF-A,A8,,27.3550,31.2500,F
J1,USB4105-GF-A,A9,VBUS,27.3550,32.4000,F
J1,USB4105-GF-A,A12,GND,27.3550,33.2000,F
J1,USB4105-GF-A,B1,GND,27.3550,33.2000,F
J1,USB4105-GF-A,B4,VBUS,27.3550,32.4000,F
J1,USB4105-GF-A,B5,USB_CC2,27.3550,31.7500,F
J1,USB4105-GF-A,B6,USB_D+,27.3550,30.7500,F
J1,USB4105-GF-A,B7,USB_D-,27.3550,29.2500,F
J1,USB4105-GF-A,B8,,27.3550,28.2500,F
J1,USB4105-GF-A,B9,VBUS,27.3550,27.6000,F
J1,USB4105-GF-A,B12,GND,27.3550,26.8000,F
J1,USB4105-GF-A,SH,GND,26.7800,25.6800,F
J1,USB4105-GF-A,SH,GND,22.6000,25.6800,F
J1,USB4105-GF-A,SH,GND,26.7800,34.3200,F
J1,USB4105-GF-A,SH,GND,22.6000,34.3200,F
J2,104031-0811,1,,46.1050,24.7500,B
J2,104031-0811,2,SD_CS,45.0050,24.7500,B
J2,104031-0811,3,SD_MOSI_CARD,43.9050,24.7500,B
J2,104031-0811,4,3V_SD,42.8050,24.7500,B
J2,104031-0811,5,SD_SCK_CARD,41.7050,24.7500,B
J2,104031-0811,6,GND,40.6050,24.7500,B
J2,104031-0811,7,SD_MISO_CARD,39.5050,24.7500,B
J2,104031-0811,8,,38.4550,24.7500,B
J2,104031-0811,9,SD_DETECT,48.7400,30.9000,B
J2,104031-0811,10,GND,48.7400,34.6000,B
J2,104031-0811,SH,GND,48.5650,24.8750,B
J2,104031-0811,SH,GND,45.2400,35.5750,B
J2,104031-0811,SH,GND,39.2700,35.5750,B
J2,104031-0811,SH,GND,37.2450,25.1000,B
L1,2.2uH CIGT201610EH2R2MNE,1,3V_MAIN,37.0750,27.2000,F
L1,2.2uH CIGT201610EH2R2MNE,2,SW1,38.5250,27.2000,F
L2,2.2uH CIGT201610EH2R2MNE,1,3V_SD,37.0750,32.8000,F
L2,2.2uH CIGT201610EH2R2MNE,2,SW2,38.5250,32.8000,F
L3,10uH MLZ2012N100LT000,1,DCCH,50.3750,33.2000,F
L3,10uH MLZ2012N100LT000,2,3V_MAIN,51.8250,33.2000,F
LED1,APHB1608LVBDSEKJ3C,4,VSYS,26.4000,37.6500,F
LED1,APHB1608LVBDSEKJ3C,3,LED_RED_K,27.6000,37.6500,F
LED1,APHB1608LVBDSEKJ3C,2,VSYS,26.4000,38.3500,F
LED1,APHB1608LVBDSEKJ3C,1,LED_BLUE_K,27.6000,38.3500,F
M1,VCLP1020B002L,2,HAPTIC_NEG,35.2500,37.0000,F
M1,VCLP1020B002L,1,3V_MAIN,33.7500,37.0000,F
MIC1,IM69D128SV01XTMA1,,,38.0000,21.9400,F
MIC1,IM69D128SV01XTMA1,5,GND,37.2000,21.9400,F
MIC1,IM69D128SV01XTMA1,5,GND,38.0000,22.5800,F
MIC1,IM69D128SV01XTMA1,5,GND,38.8000,21.9400,F
MIC1,IM69D128SV01XTMA1,5,GND,38.0000,21.3300,F
MIC1,IM69D128SV01XTMA1,4,GND,37.1625,22.6365,F
MIC1,IM69D128SV01XTMA1,3,PDM_DATA_MIC1,37.1625,23.4585,F
MIC1,IM69D128SV01XTMA1,2,PDM_CLK,38.8375,22.6365,F
MIC1,IM69D128SV01XTMA1,1,3V_MIC,38.8375,23.4585,F
MIC2,IM69D128SV01XTMA1,,,51.0000,21.9400,F
MIC2,IM69D128SV01XTMA1,5,GND,50.2000,21.9400,F
MIC2,IM69D128SV01XTMA1,5,GND,51.0000,22.5800,F
MIC2,IM69D128SV01XTMA1,5,GND,51.8000,21.9400,F
MIC2,IM69D128SV01XTMA1,5,GND,51.0000,21.3300,F
MIC2,IM69D128SV01XTMA1,4,3V_MIC,50.1625,22.6365,F
MIC2,IM69D128SV01XTMA1,3,PDM_DATA_MIC2,50.1625,23.4585,F
MIC2,IM69D128SV01XTMA1,2,PDM_CLK,51.8375,22.6365,F
MIC2,IM69D128SV01XTMA1,1,3V_MIC,51.8375,23.4585,F
Q1,AO3400A,1,HAPTIC_GATE,37.9375,37.9500,F
Q1,AO3400A,2,GND,37.9375,36.0500,F
Q1,AO3400A,3,HAPTIC_NEG,36.0625,37.0000,F
R1,10k I2C,1,3V_MAIN,35.8900,25.4000,F
R1,10k I2C,2,I2C_SCL,36.9100,25.4000,F
R10,22R SD MISO,1,SD_MISO_CARD,48.7100,38.0000,B
R10,22R SD MISO,2,SD_MISO_MCU,47.6900,38.0000,B
R11,100k BUTTON PULLUP,1,3V_MAIN,32.5100,35.4000,B
R11,100k BUTTON PULLUP,2,USER_BTN,31.4900,35.4000,B
R12,100R HAPTIC GATE,1,HAPTIC_PWM,30.9900,39.2000,F
R12,100R HAPTIC GATE,2,HAPTIC_GATE,32.0100,39.2000,F
R13,100k HAPTIC PULLDOWN,1,HAPTIC_GATE,33.0900,39.2000,F
R13,100k HAPTIC PULLDOWN,2,GND,34.1100,39.2000,F
R14,100R MIC1 DATA,1,PDM_DATA_MIC1,40.6900,23.3000,F
R14,100R MIC1 DATA,2,PDM_DATA,41.7100,23.3000,F
R15,100R MIC2 DATA,1,PDM_DATA_MIC2,56.3900,23.5000,F
R15,100R MIC2 DATA,2,PDM_DATA,57.4100,23.5000,F
R2,10k I2C,1,3V_MAIN,30.2900,34.4000,F
R2,10k I2C,2,I2C_SDA,31.3100,34.4000,F
R3,330k 1% BUCK1=2.7V START,1,VSET1,29.3100,35.0000,B
R3,330k 1% BUCK1=2.7V START,2,GND,28.2900,35.0000,B
R4,150k 1% BUCK2=3.0V,1,VSET2,31.1100,33.8000,B
R4,150k 1% BUCK2=3.0V,2,GND,30.0900,33.8000,B
R5,5.1k USB CC1,1,USB_CC1,24.4100,24.0000,B
R5,5.1k USB CC1,2,GND,23.3900,24.0000,B
R6,5.1k USB CC2,1,USB_CC2,26.9100,24.0000,B
R6,5.1k USB CC2,2,GND,25.8900,24.0000,B
R7,100k SD CS PULLUP,1,3V_SD,42.1100,38.0000,B
R7,100k SD CS PULLUP,2,SD_CS,41.0900,38.0000,B
R8,22R SD SCK,1,SD_SCK_MCU,44.3100,38.0000,B
R8,22R SD SCK,2,SD_SCK_CARD,43.2900,38.0000,B
R9,22R SD MOSI,1,SD_MOSI_MCU,46.5100,38.0000,B
R9,22R SD MOSI,2,SD_MOSI_CARD,45.4900,38.0000,B
SW1,B3U-1000P,1,USER_BTN,29.3000,37.0000,F
SW1,B3U-1000P,2,GND,32.7000,37.0000,F
TP1,SWDIO,1,SWDIO,50.5000,38.3000,B
TP2,SWDCLK,1,SWDCLK,52.0000,38.3000,B
TP3,RESET,1,RESET,53.5000,38.3000,B
TP4,3V_MAIN,1,3V_MAIN,55.0000,38.3000,B
TP5,GND,1,GND,56.5000,38.3000,B
TP6,UART_TX,1,UART_TX,58.0000,38.3000,B
TP7,UART_RX,1,UART_RX,59.5000,38.3000,B
U1,MDBT50Q-1MV2,1,GND,64.7500,25.3500,F
U1,MDBT50Q-1MV2,2,GND,63.6500,25.3500,F
U1,MDBT50Q-1MV2,3,,62.8500,25.3500,F
U1,MDBT50Q-1MV2,4,,61.2500,25.3500,F
U1,MDBT50Q-1MV2,5,,60.8500,26.2500,F
U1,MDBT50Q-1MV2,6,,60.4500,25.3500,F
U1,MDBT50Q-1MV2,7,,60.0500,26.2500,F
U1,MDBT50Q-1MV2,8,,59.6500,25.3500,F
U1,MDBT50Q-1MV2,9,,59.2500,26.2500,F
U1,MDBT50Q-1MV2,10,,58.8500,25.3500,F
U1,MDBT50Q-1MV2,11,,58.4500,26.2500,F
U1,MDBT50Q-1MV2,12,,58.0500,25.3500,F
U1,MDBT50Q-1MV2,13,,57.6500,26.2500,F
U1,MDBT50Q-1MV2,14,,57.2500,25.3500,F
U1,MDBT50Q-1MV2,15,GND,53.8500,25.2000,F
U1,MDBT50Q-1MV2,16,I2C_SDA,53.8500,26.0000,F
U1,MDBT50Q-1MV2,17,,53.8500,26.8000,F
U1,MDBT50Q-1MV2,18,,53.8500,27.6000,F
U1,MDBT50Q-1MV2,19,I2C_SCL,54.7500,28.0000,F
U1,MDBT50Q-1MV2,20,UART_RX,53.8500,28.4000,F
U1,MDBT50Q-1MV2,21,UART_TX,54.7500,28.8000,F
U1,MDBT50Q-1MV2,22,USER_BTN,53.8500,29.2000,F
U1,MDBT50Q-1MV2,23,,54.7500,29.6000,F
U1,MDBT50Q-1MV2,24,HAPTIC_PWM,53.8500,30.0000,F
U1,MDBT50Q-1MV2,25,,54.7500,30.4000,F
U1,MDBT50Q-1MV2,26,,53.8500,30.8000,F
U1,MDBT50Q-1MV2,27,SD_CS,54.7500,31.2000,F
U1,MDBT50Q-1MV2,28,3V_MAIN,53.8500,31.6000,F
U1,MDBT50Q-1MV2,29,SD_MISO_MCU,54.7500,32.0000,F
U1,MDBT50Q-1MV2,30,3V_MAIN,53.8500,32.4000,F
U1,MDBT50Q-1MV2,31,DCCH,53.8500,33.2000,F
U1,MDBT50Q-1MV2,32,VBUS,53.8500,34.0000,F
U1,MDBT50Q-1MV2,33,GND,53.8500,34.8000,F
U1,MDBT50Q-1MV2,34,USB_D-,54.8500,34.6500,F
U1,MDBT50Q-1MV2,35,USB_D+,55.6500,34.6500,F
U1,MDBT50Q-1MV2,36,SD_MOSI_MCU,56.0500,33.7500,F
U1,MDBT50Q-1MV2,37,SD_SCK_MCU,56.4500,34.6500,F
U1,MDBT50Q-1MV2,38,PDM_CLK,56.8500,33.7500,F
U1,MDBT50Q-1MV2,39,PDM_DATA,57.2500,34.6500,F
U1,MDBT50Q-1MV2,40,RESET,57.6500,33.7500,F
U1,MDBT50Q-1MV2,41,PMIC_INT,58.0500,34.6500,F
U1,MDBT50Q-1MV2,42,,58.4500,33.7500,F
U1,MDBT50Q-1MV2,43,ACC_INT2,59.2500,33.7500,F
U1,MDBT50Q-1MV2,44,ACC_INT1,59.6500,34.6500,F
U1,MDBT50Q-1MV2,45,SD_DETECT,60.0500,33.7500,F
U1,MDBT50Q-1MV2,46,,60.4500,34.6500,F
U1,MDBT50Q-1MV2,47,,60.8500,33.7500,F
U1,MDBT50Q-1MV2,48,,61.2500,34.6500,F
U1,MDBT50Q-1MV2,49,,61.6500,33.7500,F
U1,MDBT50Q-1MV2,50,,62.4500,33.7500,F
U1,MDBT50Q-1MV2,51,SWDIO,62.8500,34.6500,F
U1,MDBT50Q-1MV2,52,,63.2500,33.7500,F
U1,MDBT50Q-1MV2,53,SWDCLK,63.6500,34.6500,F
U1,MDBT50Q-1MV2,54,,64.0500,33.7500,F
U1,MDBT50Q-1MV2,55,GND,64.7500,34.6500,F
U1,MDBT50Q-1MV2,56,,60.4500,28.0000,F
U1,MDBT50Q-1MV2,57,,60.4500,28.8000,F
U1,MDBT50Q-1MV2,58,,60.4500,29.6000,F
U1,MDBT50Q-1MV2,59,,60.4500,30.4000,F
U1,MDBT50Q-1MV2,60,,60.4500,31.2000,F
U1,MDBT50Q-1MV2,61,,60.4500,32.0000,F
U2,NPM1300-QEAA-R7,,,31.5500,28.8500,F
U2,NPM1300-QEAA-R7,,,31.5500,30.0000,F
U2,NPM1300-QEAA-R7,,,31.5500,31.1500,F
U2,NPM1300-QEAA-R7,,,32.7000,28.8500,F
U2,NPM1300-QEAA-R7,,,32.7000,30.0000,F
U2,NPM1300-QEAA-R7,,,32.7000,31.1500,F
U2,NPM1300-QEAA-R7,,,33.8500,28.8500,F
U2,NPM1300-QEAA-R7,,,33.8500,30.0000,F
U2,NPM1300-QEAA-R7,,,33.8500,31.1500,F
U2,NPM1300-QEAA-R7,1,3V_MAIN,30.2625,28.2500,F
U2,NPM1300-QEAA-R7,2,GND,30.2625,28.7500,F
U2,NPM1300-QEAA-R7,3,SW1,30.2625,29.2500,F
U2,NPM1300-QEAA-R7,4,VSYS,30.2625,29.7500,F
U2,NPM1300-QEAA-R7,5,SW2,30.2625,30.2500,F
U2,NPM1300-QEAA-R7,6,GND,30.2625,30.7500,F
U2,NPM1300-QEAA-R7,7,PMIC_INT,30.2625,31.2500,F
U2,NPM1300-QEAA-R7,8,,30.2625,31.7500,F
U2,NPM1300-QEAA-R7,9,,30.9500,32.4375,F
U2,NPM1300-QEAA-R7,10,,31.4500,32.4375,F
U2,NPM1300-QEAA-R7,11,,31.9500,32.4375,F
U2,NPM1300-QEAA-R7,12,3V_MAIN,32.4500,32.4375,F
U2,NPM1300-QEAA-R7,13,I2C_SDA,32.9500,32.4375,F
U2,NPM1300-QEAA-R7,14,I2C_SCL,33.4500,32.4375,F
U2,NPM1300-QEAA-R7,15,USER_BTN,33.9500,32.4375,F
U2,NPM1300-QEAA-R7,16,VSET2,34.4500,32.4375,F
U2,NPM1300-QEAA-R7,17,VSET1,35.1375,31.7500,F
U2,NPM1300-QEAA-R7,18,NTC,35.1375,31.2500,F
U2,NPM1300-QEAA-R7,19,VBAT,35.1375,30.7500,F
U2,NPM1300-QEAA-R7,20,VSYS,35.1375,30.2500,F
U2,NPM1300-QEAA-R7,21,VBUS,35.1375,29.7500,F
U2,NPM1300-QEAA-R7,22,VBUSOUT,35.1375,29.2500,F
U2,NPM1300-QEAA-R7,23,USB_CC1,35.1375,28.7500,F
U2,NPM1300-QEAA-R7,24,USB_CC2,35.1375,28.2500,F
U2,NPM1300-QEAA-R7,25,LED_BLUE_K,34.4500,27.5625,F
U2,NPM1300-QEAA-R7,26,LED_RED_K,33.9500,27.5625,F
U2,NPM1300-QEAA-R7,27,,33.4500,27.5625,F
U2,NPM1300-QEAA-R7,28,VSYS,32.9500,27.5625,F
U2,NPM1300-QEAA-R7,29,3V_MIC,32.4500,27.5625,F
U2,NPM1300-QEAA-R7,30,VSYS,31.9500,27.5625,F
U2,NPM1300-QEAA-R7,31,LDO2_OUT,31.4500,27.5625,F
U2,NPM1300-QEAA-R7,32,3V_SD,30.9500,27.5625,F
U2,NPM1300-QEAA-R7,33,GND,32.7000,30.0000,F
U3,LIS2DW12TR,1,I2C_SCL,47.2375,35.3500,F
U3,LIS2DW12TR,2,3V_MAIN,47.2375,35.8500,F
U3,LIS2DW12TR,3,GND,47.2375,36.3500,F
U3,LIS2DW12TR,4,I2C_SDA,47.2375,36.8500,F
U3,LIS2DW12TR,5,,47.7500,36.8625,F
U3,LIS2DW12TR,6,GND,48.2500,36.8625,F
U3,LIS2DW12TR,7,GND,48.7625,36.8500,F
U3,LIS2DW12TR,8,GND,48.7625,36.3500,F
U3,LIS2DW12TR,9,3V_MAIN,48.7625,35.8500,F
U3,LIS2DW12TR,10,3V_MAIN,48.7625,35.3500,F
U3,LIS2DW12TR,11,ACC_INT2,48.2500,35.3375,F
U3,LIS2DW12TR,12,ACC_INT1,47.7500,35.3375,F
U4,TPD2EUSB30DRTR,3,GND,28.5250,30.3500,B
U4,TPD2EUSB30DRTR,2,USB_D-,28.2250,29.6500,B
U4,TPD2EUSB30DRTR,1,USB_D+,29.3750,29.6500,B
