reference,mpn,value,manufacturer,footprint,populate,description,datasheet,procurement_status,price_1,price_10,price_100,price_1000
C16,C0402C104M4RACTU,100nF 16V X7R,KEMET,Anticipy_E1_Release:C16__C_0402_1005Metric,True,System high-frequency bypass; Nordic QEAA ref 1.2,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C17,C1005X7R1C104K050BC,100nF 16V X7R,TDK,Anticipy_E1_Release:C17__C_0402_1005Metric,True,Flash local bypass,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X7R1C104K050BC,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C18,C1608X7R1C105K080AC,1uF 16V X7R,TDK,Anticipy_E1_Release:C18__C_0603_1608Metric,True,Flash local bulk,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C19,C1005X7R1C104K050BC,100nF 16V X7R,TDK,Anticipy_E1_Release:C19__C_0402_1005Metric,True,MIC1 local bypass,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X7R1C104K050BC,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C20,C1005X7R1C104K050BC,100nF 16V X7R,TDK,Anticipy_E1_Release:C20__C_0402_1005Metric,False,"MIC2 local bypass; optional second microphone, DNP for baseline",https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X7R1C104K050BC,DNP,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C22,C1005X7R1C104K050BC,100nF 16V X7R,TDK,Anticipy_E1_Release:C22__C_0402_1005Metric,True,100 nF 16 V X7R motor snubber across 3V_MAIN and HAPTIC_NEG; not a ground bypass,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X7R1C104K050BC,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C23,GRM21BR60J476ME01L,47uF 6.3V X5R,Murata,Anticipy_E1_Release:C23__C_0805_2012Metric,True,"Haptic bulk decoupling on 3V_MAIN to GND; 47 uF nominal, 6.3 V X5R; maximum body 2.20 x 1.45 x 1.45 mm; effective capacitance decreases with DC bias",https://www.murata.com/en-us/products/productdetail?partno=GRM21BR60J476ME01%23,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C25,GRM155R60J106ME15D,10uF 6.3V X5R,Murata,Anticipy_E1_Release:C25__C_0402_1005Metric,True,Raytac VDD/VDDH local bulk; effective capacitance is a first-article gate,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
C26,GRM155R60J106ME15D,10uF 6.3V X5R,Murata,Anticipy_E1_Release:C26__C_0402_1005Metric,True,Raytac VBUS local bulk; effective capacitance is a first-article gate,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
TP1,TESTPAD,SWDIO,Anticipy,Anticipy_E1_Release:TP1__PogoPad_D1.0mm,True,Factory test point: SWDIO,,DNP,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
TP2,TESTPAD,SWDCLK,Anticipy,Anticipy_E1_Release:TP2__PogoPad_D1.0mm,True,Factory test point: SWDCLK,,DNP,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
TP3,TESTPAD,RESET,Anticipy,Anticipy_E1_Release:TP3__PogoPad_D1.0mm,True,Factory test point: RESET,,DNP,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
TP4,TESTPAD,3V_MAIN,Anticipy,Anticipy_E1_Release:TP4__PogoPad_D1.0mm,True,Factory test point: 3V_MAIN,,DNP,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
TP5,TESTPAD,GND,Anticipy,Anticipy_E1_Release:TP5__PogoPad_D1.0mm,True,Factory test point: GND,,DNP,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
TP6,TESTPAD,UART_TX,Anticipy,Anticipy_E1_Release:TP6__PogoPad_D1.0mm,True,Factory test point: UART_TX,,DNP,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
TP7,TESTPAD,UART_RX,Anticipy,Anticipy_E1_Release:TP7__PogoPad_D1.0mm,True,Factory test point: UART_RX,,DNP,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
TP8,TESTPAD,VBAT,Anticipy,Anticipy_E1_Release:TP8__PogoPad_D1.0mm,True,Factory test point: VBAT,,DNP,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
TP9,TESTPAD,VBUS,Anticipy,Anticipy_E1_Release:TP9__PogoPad_D1.0mm,True,Factory test point: VBUS,,DNP,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
TP10,TESTPAD,VSYS,Anticipy,Anticipy_E1_Release:TP10__PogoPad_D1.0mm,True,Factory test point: VSYS,,DNP,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
TP11,TESTPAD,VBUSOUT,Anticipy,Anticipy_E1_Release:TP11__PogoPad_D1.0mm,True,Factory test point: VBUSOUT,,DNP,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
TP12,TESTPAD,2V5_AUX,Anticipy,Anticipy_E1_Release:TP12__PogoPad_D1.0mm,True,BUCK1 2.5V auxiliary characterization point; no MCU/NAND logic attached,,DNP,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
TP13,TESTPAD,3V_MIC,Anticipy,Anticipy_E1_Release:TP13__PogoPad_D1.0mm,True,Factory test point: 3V_MIC,,DNP,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
TP14,TESTPAD,PMIC_INT,Anticipy,Anticipy_E1_Release:TP14__PogoPad_D1.0mm,True,Factory test point: PMIC_INT,,DNP,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
TH1,B57540G1103F000,10k 1% external NTC,TDK,Anticipy_E1_Release:TH1__WirePads_2_P1.27mm,True,"Off-board sensor, insulated and thermally bonded to cell edge. Curve8307, custom PMIC thresholds REQUIRED.",https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_Glass_enc_sensors_G1540.pdf,EXTERNAL_FINAL_ASSEMBLY,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
R12,RC0402FR-0710KL,10k 1%,Yageo,Anticipy_E1_Release:R12__R_0402_1005Metric,True,Defined WP/HOLD state for initial single-lane SPI NAND bring-up,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
R13,RC0402FR-0710KL,10k 1%,Yageo,Anticipy_E1_Release:R13__R_0402_1005Metric,True,Defined WP/HOLD state for initial single-lane SPI NAND bring-up,,RELEASED_EXACT_MPN,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED,QUOTE_REQUIRED
